crossing,commune,region,by,type,year,month,value
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,entry,2021,diciembre,"1,118"
Aeródromo Teniente Gallardo,Puerto Natales,Magallanes y la Antártica Chilena,air,exit,2021,diciembre,0
Aeropuerto Andres Sabella,Antofagasta,Antofagasta,air,exit,2021,diciembre,"1,704"
Aeropuerto Araucania,Temuco,La Araucanía,air,exit,2021,diciembre,2
Aeropuerto Carriel Sur,Concepción,Bío Bío,air,exit,2021,diciembre,0
Aeropuerto Chacalluta,Arica,Arica y Parinacota,air,exit,2021,diciembre,6
Aeropuerto El Loa (Calama),Calama,Antofagasta,air,exit,2021,diciembre,0
Aeropuerto El Tepual (Pm),Puerto Montt,Los Lagos,air,exit,2021,diciembre,0
Aeropuerto Iquique,Iquique,Tarapacá,air,exit,2021,diciembre,535
Aeropuerto Punta Arenas,Punta Arenas,Magallanes y la Antártica Chilena,air,exit,2021,diciembre,232
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,diciembre,"235,183"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,diciembre,3
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,diciembre,"7,597"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,diciembre,"4,424"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,diciembre,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,diciembre,665
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,diciembre,"2,151"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,diciembre,0
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,diciembre,308
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,diciembre,"1,779"
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021,diciembre,"28,217"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021,diciembre,"29,434"
Paso Pehuenche,Curicó,Maule,land,exit,2021,diciembre,163
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021,diciembre,"1,916"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021,diciembre,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021,diciembre,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021,diciembre,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021,diciembre,"10,591"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021,diciembre,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021,diciembre,"1,146"
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021,diciembre,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021,diciembre,391
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021,diciembre,14
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,diciembre,0
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,diciembre,0
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,diciembre,43
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,diciembre,0
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,diciembre,208
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,diciembre,0
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,diciembre,0
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,diciembre,109
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,diciembre,199
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,diciembre,42
Puerto Iquique,Iquique,Tarapacá,sea,exit,2021,diciembre,169
Puerto Lirquen,Penco,Bío Bío,sea,exit,2021,diciembre,175
Puerto Mejillones,Mejillones,Antofagasta,sea,exit,2021,diciembre,42
Puerto Montt Muelle Fiscal,Puerto Montt,Los Lagos,sea,exit,2021,diciembre,32
Puerto Penco,Penco,Bío Bío,sea,exit,2021,diciembre,0
Puerto Quintero,Quintero,Valparaíso,sea,exit,2021,diciembre,0
Puerto San Antonio,San Antonio,Valparaíso,sea,exit,2021,diciembre,0
Puerto San Vicente,Talcahuano,Biobío,sea,exit,2021,diciembre,453
Puerto Talcahuano,Talcahuano,Biobío,sea,exit,2021,diciembre,198
Puerto Tocopilla,Tocopilla,Antofagasta,sea,exit,2021,diciembre,94
Puerto Valdivia,Valdivia,Los Ríos,sea,exit,2021,diciembre,0
Puerto Valparaiso,Valparaíso,Valparaíso,sea,exit,2021,diciembre,0
Puerto Williams,Cabo de Hornos,Magallanes y de la Antártica Chilena,sea,exit,2021,diciembre,"1,042"
Caleta Carolina Michilla,Mejillones,Antofagasta,sea,exit,2021,diciembre,0
"Punta Arenas,/Baiha Gregorio,",Punta Arenas,Magallanes y la Antártica Chilena,sea,exit,2021,diciembre,807
