crossing,commune,region,by,type,year,month,value
Arturo Merino Benitez,Pudahuel,Santiago Metropolitan Region (RM),air,exit,2021,marzo,"74,186"
Avanzada El Limite,San José de Maipo,Santiago Metropolitan Region (RM),land,exit,2021,marzo,0
Chungara - Tambo Quemado,Putre,Arica y Parinacota,land,exit,2021,marzo,"6,008"
Concordia/Chacalluta Carretera,Arica,Arica y Parinacota,land,exit,2021,marzo,"3,554"
Ferrocarril Arica -Tacna,Arica,Arica y Parinacota,land,exit,2021,marzo,0
Huemules/Balmaceda/,Coyhaique,Aysén,land,exit,2021,marzo,563
Paso Cardenal Samore-Pajaritos,Osorno,Los Lagos,land,exit,2021,marzo,"1,875"
Paso Colchane - Pisiga,Colchane,Tarapacá,land,exit,2021,marzo,1
Paso De Chile Chico,Chile Chico,Aysén,land,exit,2021,marzo,37
Paso Jama,San Pedro de Atacama,Antofagasta,land,exit,2021,marzo,0
Paso Los Libertadores,Los Andes,Valparaíso,land,exit,2021,marzo,"5,178"
Paso Monte Aymond,Laguna Blanca,Magallanes y la Antártica Chilena,land,exit,2021,marzo,"9,394"
Paso Pehuenche,Curicó,Maule,land,exit,2021,marzo,77
Paso Pino Hachado - Liucura,Lonquimay,La Araucanía,land,exit,2021,marzo,"2,016"
Paso Portezuelo Del Cajon,La Estrella,Libertador General Bernardo O'Higgins,land,exit,2021,marzo,0
Paso Rio Manso,Puerto Montt,Los Lagos,land,exit,2021,marzo,0
Paso San Francisco - Copiapo,Copiapó,Atacama,land,exit,2021,marzo,0
Paso San Sebastian,Porvenir,Magallanes y la Antártica Chilena,land,exit,2021,marzo,"9,550"
Paso Visviri,General Lagos,Arica y Parinacota (XV),land,exit,2021,marzo,0
Salar De Ollague (Carr. Ffcc),Ollagüe,Antofagasta,land,exit,2021,marzo,"1,002"
Sico - San Pedro De Atacama,San Pedro de Atacama,Antofagasta (II),land,exit,2021,marzo,0
Caleta Patillos,Iquique,Tarapacá,sea,exit,2021,marzo,140
Puerto Angamos,Mejillones,Antofagasta,sea,exit,2021,marzo,54
Puerto Antofagasta,Antofagasta,Antofagasta,sea,exit,2021,marzo,91
Puerto Arica,Arica,Arica y Parinacota,sea,exit,2021,marzo,39
Puerto Cabo Negro,Punta Arenas,Magallanes y de la Antártica Chilena,sea,exit,2021,marzo,22
Puerto Calbuco,Calbuco,Los Lagos,sea,exit,2021,marzo,0
Puerto Caldera - Copiapo,Caldera,Atacama,sea,exit,2021,marzo,65
Puerto Chacabuco,Aysén,Aysén del General Carlos Ibáñez del Campo,sea,exit,2021,marzo,0
Puerto Coloso,Antofagasta,Antofagasta,sea,exit,2021,marzo,40
Puerto Coquimbo,Coquimbo,Coquimbo,sea,exit,2021,marzo,126
Puerto Coronel,Coronel,Bío Bío,sea,exit,2021,marzo,182
Puerto De Corral,Corral,Los Ríos,sea,exit,2021,marzo,45
