taxa	lat	long
EPI_ISL_2543653	-30.1779358526693	-71.3413809602692
EPI_ISL_2543657	-34.1408209912513	-70.8692989172686
EPI_ISL_2543662	-34.2692208601257	-70.9379100486738
EPI_ISL_2543664	-34.1443771420129	-70.7959084092939
EPI_ISL_2557252	-24.6220057761059	-69.7991285199359
EPI_ISL_2557254	-23.6758854466535	-69.5481140960273
EPI_ISL_2557257	-18.8339432525988	-70.1345668132543
EPI_ISL_2557259	-18.3644691539511	-69.8895549241631
EPI_ISL_2557260	-18.3470286329983	-70.2981024172748
EPI_ISL_2557261	-18.7018064530084	-69.6901549670862
EPI_ISL_2557263	-24.4828395516317	-69.9167887768666
EPI_ISL_2557265	-24.2415157525743	-70.1961335336169
EPI_ISL_2557274	-40.0478942698984	-72.2246631911468
EPI_ISL_2557276	-39.5125536216239	-72.6787443136554
EPI_ISL_2557280	-41.447343510232	-72.6324875823616
EPI_ISL_2557282	-41.5079649409317	-73.1184582431063
EPI_ISL_2557285	-33.441668160165	-70.6485734660659
EPI_ISL_2557286	-33.5238013596412	-70.535450636152
EPI_ISL_2557287	-33.6981694615638	-70.6830084818092
EPI_ISL_2557289	-33.3938862478967	-70.6637719164873
EPI_ISL_2557290	-33.7444695248515	-70.7202578189912
EPI_ISL_2557298	-45.2790011026616	-71.9689714023369
EPI_ISL_2566536	-33.5479359408443	-70.6251972018515
EPI_ISL_2566537	-33.5247347306375	-70.6169135277863
EPI_ISL_2597230	-33.5281748565857	-70.6313675940423
EPI_ISL_2597231	-33.6243446479754	-70.6152235291034
EPI_ISL_2597236	-33.545316678026	-70.6179391075336
EPI_ISL_2597237	-33.5804596981499	-70.5057052486494
EPI_ISL_2597241	-33.5835839212584	-70.5364370138036
EPI_ISL_2597246	-33.5527758208667	-70.6417551729624
EPI_ISL_2597253	-33.5428396058647	-70.6320367635509
EPI_ISL_2597254	-33.6207854049391	-70.6163222420032
EPI_ISL_2597255	-33.5291098771478	-70.6373681726579
EPI_ISL_2597256	-33.5362490874085	-70.6190928734058
EPI_ISL_2597263	-33.4915533497833	-70.8250814079655
EPI_ISL_2597265	-33.4248749325863	-70.8012450202487
EPI_ISL_2597280	-33.4490189816437	-70.737450671979
EPI_ISL_2597281	-33.4599352953561	-70.8160046109477
EPI_ISL_2597284	-33.4461514184399	-70.7236466949003
EPI_ISL_2597285	-41.4114448130876	-72.5267544265424
EPI_ISL_2597286	-41.5790459746201	-73.1075667399212
EPI_ISL_2597287	-41.6541348129356	-72.661346753081
EPI_ISL_2597288	-41.3865658260283	-72.8351921151285
EPI_ISL_2597297	-38.7121651603547	-72.6634143593434
EPI_ISL_2597298	-38.7618078279749	-72.7795186060877
EPI_ISL_2597306	-45.5308017471747	-71.8363161535724
EPI_ISL_2659119	-33.4597777401074	-70.6112383556389
EPI_ISL_2659124	-18.6314997873081	-70.046282642892
EPI_ISL_2659125	-18.6838284537019	-69.6031999132209
EPI_ISL_2659127	-18.264297432749	-69.8820590456603
EPI_ISL_2659129	-18.6962786185822	-69.6246048757569
EPI_ISL_2659130	-18.4094017913598	-69.9676540639452
EPI_ISL_2659131	-18.3606994201623	-70.3036794336479
